recording_id,sensor,schema_ok,n_samples,start_s,end_s,duration_s,sampling_rate_hz,min_interval_s,max_interval_s,largest_gap_over_median,missing_values,infinite_values,duplicate_rows,duplicate_timestamps,non_positive_intervals,non_positive_epoch_intervals,clock_interval_difference_max_s,integer_timestamp,participant_id,class
R019,Gyroscope,True,5065,0.0587431640625,50.90946264648438,50.85071948242188,99.58425518465096,0.010040527343747385,0.010043212890622044,1.0001458753734815,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R019,Gravity,True,5065,0.0587431640625,50.90946264648438,50.85071948242188,99.58425518465096,0.010040527343747385,0.010043212890622044,1.0001458753734815,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R020,Accelerometer,True,4862,0.060029052734375,48.87196118164063,48.81193212890626,99.58425518466856,0.010040283203125,0.010042968750000547,1.0001215628117064,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R020,Gyroscope,True,4863,0.060029052734375,48.88200219726563,48.821973144531256,99.58425518466856,0.010040283203125,0.010042968750000547,1.0001215628117064,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R020,Gravity,True,4863,0.060029052734375,48.88200219726563,48.821973144531256,99.58425518466856,0.010040283203125,0.010042968750000547,1.0001215628117064,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R021,Accelerometer,True,4966,0.05779736328125,49.9137275390625,49.855930175781246,99.58909771693742,0.01004003906249995,0.010042968749999659,1.0001701962118648,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R021,Gyroscope,True,4966,0.05779736328125,49.9137275390625,49.855930175781246,99.58909771693742,0.01004003906249995,0.010042968749999659,1.0001701962118648,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R021,Gravity,True,4966,0.05779736328125,49.9137275390625,49.855930175781246,99.58909771693742,0.01004003906249995,0.010042968749999659,1.0001701962118648,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R022,Accelerometer,True,5121,0.05981103515625,51.47202172851563,51.41221069335938,99.58909771693742,0.010039794921873124,0.010043212890622044,1.0001945099561642,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R022,Gyroscope,True,5121,0.05981103515625,51.47202172851563,51.41221069335938,99.58909771693742,0.010039794921873124,0.010043212890622044,1.0001945099561642,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R022,Gravity,True,5121,0.05981103515625,51.47202172851563,51.41221069335938,99.58909771693742,0.010039794921873124,0.010043212890622044,1.0001945099561642,0,0,0,0,0,0,3.1562500636683755e-07,True,P02,smooth
R023,Accelerometer,True,4949,0.064180908203125,49.751525390625,49.68734448242187,99.58183409511379,0.010040283203125,0.010043457031251535,1.0001458718274945,0,0,0,0,0,0,3.156250000385663e-07,True,P02,smooth
R023,Gyroscope,True,4949,0.064180908203125,49.751525390625,49.68734448242187,99.58183409511379,0.010040283203125,0.010043457031251535,1.0001458718274945,0,0,0,0,0,0,3.156250000385663e-07,True,P02,smooth
R023,Gravity,True,4949,0.064180908203125,49.751525390625,49.68734448242187,99.58183409511379,0.010040283203125,0.010043457031251535,1.0001458718274945,0,0,0,0,0,0,3.156250000385663e-07,True,P02,smooth
R024,Accelerometer,True,4784,0.0663310546875,48.09621240234375,48.02988134765625,99.58183409511379,0.010039794921873124,0.010042968750000547,1.0000972478849668,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R024,Gyroscope,True,4784,0.0663310546875,48.09621240234375,48.02988134765625,99.58183409511379,0.010039794921873124,0.010042968750000547,1.0000972478849668,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R024,Gravity,True,4784,0.0663310546875,48.09621240234375,48.02988134765625,99.58183409511379,0.010039794921873124,0.010042968750000547,1.0000972478849668,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R025,Accelerometer,True,4993,0.049026611328125,50.00305151367188,49.954024902343754,99.93900207389258,0.010005126953124943,0.011882080078123636,1.1874832255697558,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R025,Gyroscope,True,4993,0.049026611328125,50.00305151367188,49.954024902343754,99.93900207389258,0.010005126953124943,0.011882080078123636,1.1874832255697558,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R025,Gravity,True,4993,0.049026611328125,50.00305151367188,49.954024902343754,99.93900207389258,0.010005126953124943,0.011882080078123636,1.1874832255697558,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R026,Accelerometer,True,4998,0.04356201171875,50.046099609375,50.00253759765625,99.93900207389258,0.010005126953124943,0.010631103515628126,1.062461876296126,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R026,Gyroscope,True,4998,0.04356201171875,50.046099609375,50.00253759765625,99.93900207389258,0.010005126953124943,0.010631103515628126,1.062461876296126,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R026,Gravity,True,4998,0.04356201171875,50.046099609375,50.00253759765625,99.93900207389258,0.010005126953124943,0.010631103515628126,1.062461876296126,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R027,Accelerometer,True,4169,0.046385009765625,41.75271752929687,41.70633251953125,99.93900207392807,0.010004882812500004,0.010632324218747158,1.0625838721480478,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R027,Gyroscope,True,4169,0.046385009765625,41.75271752929687,41.70633251953125,99.93900207392807,0.010004882812500004,0.010632324218747158,1.0625838721480478,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R027,Gravity,True,4169,0.046385009765625,41.75271752929687,41.70633251953125,99.93900207392807,0.010004882812500004,0.010632324218747158,1.0625838721480478,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R028,Accelerometer,True,3750,0.050763671875,37.56536840820313,37.514604736328124,99.93900207392807,0.010005615234369714,0.010632080078124773,1.062559472977881,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
R028,Gyroscope,True,3750,0.050763671875,37.56536840820313,37.514604736328124,99.93900207392807,0.010005615234369714,0.010632080078124773,1.062559472977881,0,0,0,0,0,0,4.082031265350422e-07,True,P01,smooth
